1620008100000,57947.43000000,58189.29000000,57905.48000000,58158.85000000,430.91452800,1620008999999,25027755.16007654,12220,214.70201500,12468785.59917507,0
1620009000000,58158.85000000,58249.99000000,58086.12000000,58089.55000000,322.26246900,1620009899999,18746391.80521760,10985,166.95816000,9712276.14099403,0
1620009900000,58091.57000000,58153.99000000,58011.58000000,58060.48000000,436.88330200,1620010799999,25372664.43112281,11656,200.46765200,11640828.39258355,0
1620010800000,58060.48000000,58130.65000000,58012.35000000,58060.37000000,618.21006700,1620011699999,35901578.40763794,14079,329.55177100,19136998.96571237,0
1620011700000,58060.36000000,58240.69000000,57938.60000000,57955.21000000,663.85482600,1620012599999,38551397.96845133,14636,273.90543400,15912407.29006741,0
1620012600000,57955.21000000,58114.72000000,57934.28000000,57962.59000000,669.01131900,1620013499999,38824562.32307298,12818,255.26803200,14813181.33058050,0
1620013500000,57962.59000000,58014.76000000,57768.67000000,57925.80000000,423.64052100,1620014399999,24534149.38215906,12720,213.84288300,12384631.38738455,0
1620014400000,57925.79000000,58044.09000000,57900.36000000,58001.11000000,316.00239500,1620015299999,18319292.05327147,10751,191.50957700,11102328.76954211,0
1620015300000,58001.11000000,58001.11000000,57857.38000000,57890.00000000,322.38547300,1620016199999,18679614.44860770,10286,156.84805800,9088316.41711134,0
1620016200000,57890.00000000,57993.91000000,57708.63000000,57723.85000000,431.47337600,1620017099999,24968742.14716395,13236,213.81496000,12372006.70365193,0
1620017100000,57723.85000000,57868.26000000,57696.70000000,57820.64000000,312.26682000,1620017999999,18045952.83912049,10286,182.28952100,10534068.12500904,0
1620018000000,57820.64000000,58000.00000000,57794.17000000,57922.68000000,489.14588800,1620018899999,28316793.72526530,11795,286.28118000,16571920.29293372,0
1620018900000,57922.69000000,58035.46000000,57873.01000000,57926.01000000,451.63675500,1620019799999,26164458.39539906,12715,238.28054100,13803776.81642494,0
1620019800000,57928.15000000,58110.00000000,57878.01000000,58011.84000000,605.95333700,1620020699999,35125065.63995259,14301,279.36584300,16191828.82116450,0
1620020700000,58011.85000000,58057.44000000,57903.49000000,57938.86000000,491.81139400,1620021599999,28514330.54703199,12417,275.09874900,15950369.59643395,0
1620021600000,57938.86000000,58049.04000000,57905.85000000,58049.04000000,419.74650800,1620022499999,24330668.72183446,22143,230.41573000,13355053.77860771,0
1620022500000,58049.04000000,58049.83000000,57898.31000000,57935.18000000,419.66032500,1620023399999,24325232.31942495,21966,214.62512800,12439762.53149431,0
1620023400000,57935.19000000,58032.00000000,57860.02000000,58022.66000000,480.58141200,1620024299999,27850722.98448014,21923,245.31188000,14219326.53963698,0
1620024300000,58022.66000000,58032.00000000,57883.41000000,57945.55000000,386.16920400,1620025199999,22382089.66272344,21532,177.63013700,10295586.33761769,0
1620025200000,57945.55000000,57960.00000000,57814.34000000,57925.87000000,385.57337100,1620026099999,22320612.23309544,20497,176.56091300,10220769.06724611,0
1620026100000,57925.87000000,58497.39000000,57918.52000000,58442.23000000,1050.63405400,1620026999999,61071531.22300567,35509,682.25749700,39666719.42942597,0
1620027000000,58442.24000000,58800.00000000,58348.28000000,58664.85000000,1788.72086100,1620027899999,104901821.83828012,58946,981.75909000,57567181.32537524,0
1620027900000,58664.84000000,58848.00000000,58664.84000000,58787.87000000,995.21108200,1620028799999,58483751.76796848,31157,454.25013400,26695799.72997135,0
1620028800000,58787.88000000,58815.90000000,58623.27000000,58629.03000000,724.48980100,1620029699999,42547883.76437468,20786,222.96628700,13093514.56880505,0
1620029700000,58629.03000000,58824.76000000,58617.00000000,58820.41000000,605.80485400,1620030599999,35571022.19197618,17405,295.98085700,17379777.63008909,0
